Topic,Count,Name,Representation,Representative_Docs,Koherensi
0,6211,0_ganjar_prabowo_anies_imin,"['ganjar', 'prabowo', 'anies', 'imin', 'ketua', 'cak', 'gibran', 'pdip', 'prabowogibran', 'mahfud']","['ketum nasdem surya paloh anies baswedan ketum pkb muhaimin iskandar cak imin berangkulan deklarasi aniescak imin pasangan caprescawapres', 'ketua partai pengusung ganjar pranowo bertemu ketum pdip megawati soekarnoputri pertemuan siang', 'wakil ketua tpn ganjar andika perkasa merespons wali kota solo kader pdip gibran rakabuming diusulkan cawapres prabowo subianto']",0.1011808535568698
1,2661,1_nomor_urut_gibran_indonesia,"['nomor', 'urut', 'gibran', 'indonesia', 'rakabuming', 'raka', 'prabowo', 'capres', 'ganjar', 'program']","['keriuhan cawapres nomor urut 2 gibran rakabuming raka greenflation cawapres nomor urut 3 mahfud md', 'cawapres nomor urut 2 gibran rakabuming raka menyebut hasil survei', 'aniescak imin nomor urut 1 prabowo subiantogibran rakabuming raka nomor urut 2 ganjar pranowomahfud md nomor urut 3']",0.0872023103264673
2,2615,2_presiden_politik_jokowi_survei,"['presiden', 'politik', 'jokowi', 'survei', 'demokrat', 'partai', 'prabowo', 'elektabilitas', 'pdip', 'ganjar']","['lembaga survei indikator politik indonesia merilis elektabilitas paslon pilpres 2024 hasilnya prabowogibran unggul aniescak imin ganjarmahfud md', 'indikator politik indonesia merilis hasil survei terkait elektabilitas partai pileg 2024 pdip teratas disusul partai gerindra golkar pkb', 'indikator politik merilis hasil simulasi head to head elektabilitas calon presiden prabowo subianto calon presiden anies baswedan']",0.075849605777113
3,2349,3_2024_pemilu_pilpres_kpu,"['2024', 'pemilu', 'pilpres', 'kpu', 'prabowo', 'suara', 'dukungan', 'presiden', 'ganjar', 'nomor']","['pemilu 2024 dilaksanakan februari 2024 simak rincian tahapan pemilu 2024', 'informasi jadwal pemilu legislatif pileg 2024 pemilu presiden wakil presiden pilpres 2024 peilihan kepala daerah pilkada 2024', 'informasi jadwal tahapan kampanye pemilu 2024 putaran pilpres 2024']",0.0957832402295102
4,1183,4_debat_pilpres_cawapres_2024,"['debat', 'pilpres', 'cawapres', '2024', 'capres', 'kpu', 'gibran', 'ketiga', 'nomor', 'urut']","['debat pilpres 2024 debat perdana cawapres 2024 digelar tanggal 22 desember 2023 debat cawapres 2024 jam', 'debat capres ketiga malam calon wakil presiden nomor urut 2 gibran rakabuming raka prabowo menghadapi debat', 'komisi pemilihan kpu menggelar acara debat pilpres 2024 debat kali debat calon wakil presiden cawapres']",0.0828602688991903
